data,cdi_dia_pct,fator,cdi_acumulado
2012-09-21,0.028149,1.00028149,1.187821639365631
2012-09-24,0.028149,1.00028149,1.1881559992788961
2012-09-25,0.028259,1.00028259,1.1884917602827325
2012-09-26,0.028222,1.00028222,1.1888271764273197
2012-09-27,0.028186,1.00028186,1.1891622592552675
2012-09-28,0.028186,1.00028186,1.1894974365296613
2012-10-01,0.028186,1.00028186,1.1898327082771216
2012-10-02,0.028149,1.00028149,1.1901676342861747
2012-10-03,0.028186,1.00028186,1.1905030949355746
2012-10-04,0.028186,1.00028186,1.1908386501379133
2012-10-05,0.028186,1.00028186,1.1911742999198414
2012-10-08,0.028186,1.00028186,1.1915100443080169
2012-10-09,0.028149,1.00028149,1.1918454424703893
2012-10-10,0.028075,1.00028075,1.1921800530783628
2012-10-11,0.027001,1.00027001,1.1925019536144945
2012-10-15,0.027001,1.00027001,1.1928239410669899
2012-10-16,0.027038,1.00027038,1.1931464568041754
2012-10-17,0.027075,1.00027075,1.1934695012073553
2012-10-18,0.027149,1.00027149,1.1937935162422382
2012-10-19,0.027149,1.00027149,1.1941176192439629
2012-10-22,0.027297,1.00027297,1.1944435775304878
2012-10-23,0.027297,1.00027297,1.1947696247938462
2012-10-24,0.027334,1.00027334,1.1950962031230872
2012-10-25,0.02726,1.0002726,1.1954219863480584
2012-10-26,0.027186,1.00027186,1.195746973769267
2012-10-29,0.027149,1.00027149,1.1960716071151756
2012-10-30,0.027112,1.00027112,1.1963958860492967
2012-10-31,0.027186,1.00027186,1.1967211382348781
2012-11-01,0.02726,1.0002726,1.1970473644171609
2012-11-05,0.027297,1.00027297,1.1973741224362258
2012-11-06,0.027297,1.00027297,1.197700969650427
2012-11-07,0.027334,1.00027334,1.1980283492334711
2012-11-08,0.027186,1.00027186,1.1983540452204937
2012-11-09,0.027186,1.00027186,1.1986798297512273
2012-11-12,0.027112,1.00027112,1.1990048158266695
2012-11-13,0.027075,1.00027075,1.1993294463805546
2012-11-14,0.027075,1.00027075,1.1996541648281622
2012-11-16,0.027038,1.00027038,1.1999785273212484
2012-11-19,0.026964,1.00026964,1.2003020895313552
2012-11-20,0.026889,1.00026889,1.2006248387602094
2012-11-21,0.026815,1.00026815,1.2009467863107228
2012-11-22,0.027186,1.00027186,1.2012732757040492
2012-11-23,0.027297,1.00027297,1.201601187270118
2012-11-26,0.027334,1.00027334,1.2019296329386462
2012-11-27,0.027297,1.00027297,1.2022577236705494
2012-11-28,0.02726,1.0002726,1.2025854591260219
2012-11-29,0.027112,1.00027112,1.2029115040957001
2012-11-30,0.027075,1.00027075,1.2032371923854341
2012-12-03,0.027112,1.00027112,1.2035634140530338
2012-12-04,0.027112,1.00027112,1.203889724165852
2012-12-05,0.027075,1.00027075,1.2042156773086699
2012-12-06,0.027038,1.00027038,1.2045412731435003
2012-12-07,0.027001,1.00027001,1.2048665113326618
2012-12-10,0.026889,1.00026889,1.2051904878888942
2012-12-11,0.026741,1.00026741,1.2055127678772606
2012-12-12,0.026741,1.00026741,1.2058351340465185
2012-12-13,0.026667,1.00026667,1.2061566941017148
2012-12-14,0.026481,1.00026481,1.2064760964558798
2012-12-17,0.026444,1.00026444,1.2067951369948267
2012-12-18,0.02637,1.0002637,1.2071133688724522
2012-12-19,0.026258,1.00026258,1.2074303327008509
2012-12-20,0.026295,1.00026295,1.2077478265068344
2012-12-21,0.02637,1.0002637,1.2080663096086843
2012-12-24,0.02637,1.0002637,1.2083848766945282
2012-12-26,0.026481,1.00026481,1.2087048690937257
2012-12-27,0.026481,1.00026481,1.2090249462301104
2012-12-28,0.026481,1.00026481,1.2093451081261215
2012-12-31,0.026481,1.00026481,1.2096653548042045
2013-01-02,0.026555,1.00026555,1.2099865814391726
2013-01-03,0.026555,1.00026555,1.2103078933758737
2013-01-04,0.026593,1.00026593,1.2106297505539594
2013-01-07,0.026555,1.00026555,1.210951233284219
2013-01-08,0.026518,1.00026518,1.2112723533322611
2013-01-09,0.026481,1.00026481,1.211593110364147
2013-01-10,0.026518,1.00026518,1.2119144006251534
2013-01-11,0.026555,1.00026555,1.2122362244942393
2013-01-14,0.026593,1.00026593,1.2125585944734192
2013-01-15,0.02663,1.0002663,1.2128814988271275
