codigo,empresa,tipo,participacao,qtd_teorica,indice
IGTI11,IGUATEMI S.A,UNT     N1,1.555,205800982.0,SMLL
INTB3,INTELBRAS,ON  ED  NM,0.521,113898409.0,SMLL
MYPK3,IOCHP-MAXION,ON      NM,0.39,138703243.0,SMLL
RANI3,IRANI,ON      NM,0.255,100436772.0,SMLL
IRBR3,IRBBRASIL RE,ON      NM,1.336,81534304.0,SMLL
JHSF3,JHSF PART,ON  ED  NM,0.855,260721097.0,SMLL
JSLG3,JSL,ON      NM,0.146,84133393.0,SMLL
KEPL3,KEPLER WEBER,ON      NM,0.33,173082697.0,SMLL
LAVV3,LAVVI,ON      NM,0.237,74230129.0,SMLL
LOGG3,LOG COM PROP,ON      NM,0.402,51533220.0,SMLL
LREN3,LOJAS RENNER,ON      NM,4.062,982593716.0,SMLL
LWSA3,LWSA,ON      NM,0.444,374338847.0,SMLL
MDIA3,M.DIASBRANCO,ON      NM,0.345,64887799.0,SMLL
MGLU3,MAGAZ LUIZA,ON      NM,0.541,373155063.0,SMLL
POMO3,MARCOPOLO,ON      N2,0.268,203825655.0,SMLL
