ticker,grupo,n_obs,inicio,fim,liquidez_mediana,empresa,origem,motivo_saida,sucessor,meses_no_universo,serie_encerrada
SCAR3,SCAR,3875,2011-01-03,2026-08-05,262300.0,SAO CARLOS,indice_vigente,,,0,False
RCSL4,RCSL,3875,2011-01-03,2026-08-05,217110.30896377563,RECRUSUL,indice_vigente,,,0,False
CLSC4,CLSC,3612,2012-01-20,2026-08-05,204238.00354003906,CELESC,indice_vigente,,,0,False
UCAS3,UCAS,3547,2012-04-27,2026-08-05,203724.99585151672,UNICASA,indice_vigente,,,0,False
OFSA3,OFSA,2933,2014-10-21,2026-08-05,193284.00192260742,OUROFINO S/A,indice_vigente,,,0,False
PDTC3,PDTC,3875,2011-01-03,2026-08-05,190570.0011253357,PADTEC,indice_vigente,,,0,False
WEST3,WEST,1366,2021-02-12,2026-08-05,184194.99889850616,WESTWING,indice_vigente,,,0,False
WDCN3,WDCN,1253,2021-07-29,2026-08-05,137940.00434875488,WDC NETWORKS,indice_vigente,,,0,False
BRKM3,BRKM,3875,2011-01-03,2026-08-05,131400.0,BRASKEM,indice_vigente,,,0,False
RNEW4,RNEW,2332,2017-03-28,2026-08-05,127356.99754714966,RENOVA,indice_vigente,,,0,False
DOTZ3,DOTZ,1294,2021-05-31,2026-08-05,99296.49709701538,DOTZ SA,indice_vigente,,,0,False
INEP4,INEP,3828,2011-01-03,2026-08-05,89634.99941825867,Inepar,candidato_historico,recuperação judicial,,5,False
TASA3,TASA,3875,2011-01-03,2026-08-05,56609.99894142151,TAURUS ARMAS,indice_vigente,,,0,False
BMEB4,BMEB,3875,2011-01-03,2026-08-05,45629.99801635742,MERCANTIL,indice_vigente,,,0,False
RAPT3,RAPT,3875,2011-01-03,2026-08-05,35721.00098133087,RANDON PART,indice_vigente,,,0,False
RNEW3,RNEW,3216,2013-08-30,2026-08-05,33688.5009765625,RENOVA,indice_vigente,,,0,False
EMAE4,EMAE,3875,2011-01-03,2026-08-05,32152.998447418213,EMAE,candidato_historico,baixa liquidez,,0,False
ALPA3,ALPA,3875,2011-01-03,2026-08-05,28763.99917602539,ALPARGATAS,indice_vigente,,,0,False
CTAX3,CTAX,3875,2011-01-03,2026-08-05,27744.000778198242,Contax,candidato_historico,"reestruturação, virou Liq",LIQO3,0,False
BRSR3,BRSR,3875,2011-01-03,2026-08-05,25300.0,BANRISUL,indice_vigente,,,0,False
ISAE3,ISAE,3875,2011-01-03,2026-08-05,23309.999465942383,ISA ENERGIA,indice_vigente,,,0,False
RANI3,RANI,3875,2011-01-03,2026-08-05,20708.999943733215,IRANI,indice_vigente,,,0,False
DEXP4,DEXP,1458,2020-09-25,2026-08-05,19057.510457992554,DEXXOS PAR,indice_vigente,,,0,False
CEDO4,CEDO,3875,2011-01-03,2026-08-05,892.0000076293945,CEDRO,indice_vigente,,,0,False
BMEB3,BMEB,3875,2011-01-03,2026-08-05,818.0000305175781,MERCANTIL,indice_vigente,,,0,False
