codigo,empresa,indices,origem,motivo_saida,sucessor,n_obs,inicio,fim,disponivel
VALE3,VALE,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
VAMO3,VAMOS,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1374,2021-02-02,2026-08-05,True
VBBR3,VIBRA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,2087,2018-03-14,2026-08-05,True
VITT3,VITTIA,IGCX,indice_vigente,,,1228,2021-09-02,2026-08-05,True
VIVA3,VIVARA S.A.,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1695,2019-10-11,2026-08-05,True
VIVR3,Viver Incorporadora,,candidato_historico,recuperação judicial,,3875,2011-01-03,2026-08-05,True
VIVT3,TELEF BRASIL,IBOV|IBRA|IBXX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
VLID3,VALID,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
VSTE3,VESTE,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
VTRU3,VITRUEDUCA,IBRA|IGCX|SMLL,indice_vigente,,,539,2024-06-11,2026-08-05,True
VULC3,VULCABRAS,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
VVAR11,Via Varejo units,,candidato_historico,unificação de classes,BHIA3,1229,2013-12-16,2018-11-23,True
VVEO3,VIVEO,IGCX,indice_vigente,,,1246,2021-08-09,2026-08-05,True
WDCN3,WDC NETWORKS,IGCX,indice_vigente,,,1253,2021-07-29,2026-08-05,True
WEGE3,WEG,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
WEST3,WESTWING,IGCX,indice_vigente,,,1366,2021-02-12,2026-08-05,True
WIZC3,WIZ CO,IGCX,indice_vigente,,,2781,2015-06-05,2026-08-05,True
YDUQ3,YDUQS PART,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ABRE11,Abril Educação,,candidato_historico,"virou Somos Educação, adquirida (2018)",,0,,,False
AESB3,AES Brasil,,candidato_historico,aquisição pela Auren (2024),AURE3,0,,,False
ALLL3,ALL Logística,,candidato_historico,incorporada pela Rumo (2015),,0,,,False
